年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,115,南港區,6低壓綜合非營業用電小計,**,"13,647","1,949,549",24761204
104,12,115,南港區,7低壓綜合裝置營業用　　,＊,0,0,0
104,12,115,南港區,8低壓綜合需量營業用　　,246,"12,489","2,649,235",34328154
104,12,115,南港區,9低壓綜合營業用電小計　,**,"12,489","2,649,235",34328154
104,12,115,南港區,10低壓綜合用電小計　　　,**,"26,136","4,598,784",59089358
104,12,115,南港區,11低壓裝置電力　　　　　,31,543,"51,248",668880
104,12,115,南港區,12低壓需量電力　　　　　,155,"5,010","565,456",7525948
104,12,115,南港區,13低壓電力小計　　　　　,**,"5,553","616,704",8194828
104,12,115,南港區,14高壓電力　　　　　　　,87,"101,464","28,248,120",356750002
104,12,115,南港區,15特高壓電力　　　　　　,＊,"39,885","15,078,000",197593445
104,12,115,南港區,16高＆特高壓電力小計　　,**,"141,349","43,326,120",554343447
104,12,115,南港區,17電力小計　　　　　　　,**,"146,902","43,942,824",562538275
104,12,115,南港區,18綜合＆電力小計　　　　,**,"173,038","48,541,608",621627633
104,12,115,南港區,19電燈＆綜合＆電力小計　,**,"178,671","58,955,844",885493402
104,12,115,南港區,20臨時電燈　　　　　　　,13,0,3596,169497
104,12,115,南港區,21臨時電力　　　　　　　,14,"1,690","220,104",3545193
104,12,115,南港區,22臨時用電小計　　　　　,**,"1,690","223,700",3714690
104,12,115,南港區,23總計（含臨時用電）　　,**,"178,671","59,179,544",889208092
104,12,115,南港區,24表燈合計　　　　　　　,**,"5,633","10,417,832",264035266
104,12,115,南港區,25綜合＆電力合計　　　　,**,"173,038","48,761,712",625172826
104,12,116,文山區,1表燈非營業用　　　　,"99,477",233,"25,385,249",411691105
104,12,116,文山區,2表燈營業用　　　　　　,"5,031","8,487","7,174,197",88677788
104,12,116,文山區,3表燈小計　　　　　　　,**,"8,720","32,559,446",500368893
104,12,116,文山區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,116,文山區,5低壓綜合需量非營業用　,786,"25,401","3,216,367",42522674
104,12,116,文山區,6低壓綜合非營業用電小計,**,"25,401","3,216,367",42522674
104,12,116,文山區,7低壓綜合裝置營業用　　,＊,74,"7,707",100347
104,12,116,文山區,8低壓綜合需量營業用　　,312,"10,621","2,498,111",34008356
104,12,116,文山區,9低壓綜合營業用電小計　,**,"10,695","2,505,818",34108703
104,12,116,文山區,10低壓綜合用電小計　　　,**,"36,096","5,722,185",76631377
104,12,116,文山區,11低壓裝置電力　　　　　,30,318,"65,201",921455
104,12,116,文山區,12低壓需量電力　　　　　,26,"1,053","141,630",1812569
104,12,116,文山區,13低壓電力小計　　　　　,**,"1,371","206,831",2734024
104,12,116,文山區,14高壓電力　　　　　　　,98,"45,313","10,318,438",138800809
104,12,116,文山區,15特高壓電力　　　　　　,＊,"23,950","8,799,333",113112391
104,12,116,文山區,16高＆特高壓電力小計　　,**,"69,263","19,117,771",251913200
104,12,116,文山區,17電力小計　　　　　　　,**,"70,634","19,324,602",254647224
104,12,116,文山區,18綜合＆電力小計　　　　,**,"106,730","25,046,787",331278601
104,12,116,文山區,19電燈＆綜合＆電力小計　,**,"115,450","57,606,233",831647494
104,12,116,文山區,20臨時電燈　　　　　　　,17,0,"2,552",279424
104,12,116,文山區,21臨時電力　　　　　　　,23,"1,546","227,346",2598088
104,12,116,文山區,22臨時用電小計　　　　　,**,"1,546","229,898",2877512
104,12,116,文山區,23總計（含臨時用電）　　,**,"115,450","57,836,131",834525006
104,12,116,文山區,24表燈合計　　　　　　　,**,"8,720","32,561,998",500648317
104,12,116,文山區,25綜合＆電力合計　　　　,**,"106,730","25,274,133",333876689
104,12,200,仁愛區,1表燈非營業用　　　　,"22,673",425,"6,555,533",79336527
104,12,200,仁愛區,2表燈營業用　　　　　　,"3,225","5,148","3,817,933",48755753
104,12,200,仁愛區,3表燈小計　　　　　　　,**,"5,573","10,373,466",128092280
