seqno,type,city,countycode,name,localcallservice,address
226,環保餐廳,新北市,65000,"小食聊聊 Brunch ",02-82851231,新北市蘆洲區中山二路147號
227,環保餐廳,新北市,65000,小倆口麵線王(新店店),02-29134839,新北市新店區中正路189巷8號
228,環保餐廳,新北市,65000,"小福利麻辣鍋 中和環球",02-22263686,新北市中和區中山路三段122號4樓
229,環保餐廳,新北市,65000,山野居蔬食-板橋大遠百,0916970870,新北市板橋區新站路28號
230,環保餐廳,新北市,65000,山間倉房,02-29406696,新北市中和區興南路二段399巷124號
231,環保餐廳,新北市,65000,山頭火板橋大遠百店,02-77054168,新北市板橋區新站路28號
232,環保餐廳,新北市,65000,中華電信學院員工餐廳,02-29639318,新北市板橋區民族路168號
233,環保餐廳,新北市,65000,中環茶餐廳,02-26095308,新北市林口區文化三路二段185號
234,環保餐廳,新北市,65000,六堆文山新客家料理,02-26669369,新北市新店區湖子內路100號
235,環保餐廳,新北市,65000,友信海鮮餐廳,02-24977777,新北市瑞芳區深澳路189之7號
236,環保餐廳,新北市,65000,"天仁茗茶 中和環球",02-77317377,新北市中和區中山路三段122號3樓
237,環保餐廳,新北市,65000,天空小品,02-26257366,新北市淡水區忠寮里竹圍子8-17號
238,環保餐廳,新北市,65000,天然茶莊,02-26603762,新北市汐止區汐碇路380巷30號
239,環保餐廳,新北市,65000,心心精緻早午餐,02-22049135,新北市新莊區瓊泰路158號1樓
240,環保餐廳,新北市,65000,文昌小老弟糟粕醋火鍋,02-29276999,新北市永和區中山路一段13號2樓
241,環保餐廳,新北市,65000,文林早餐店,02-26873339,新北市樹林區千歲街61巷40弄2號
242,環保餐廳,新北市,65000,日出茶太,02-82213316,新北市中和區中山路三段122號3F
243,環保餐廳,新北市,65000,"日出茶太 中和環球",02-82213316,新北市中和區中山路三段122號3樓
244,環保餐廳,新北市,65000,"牛丼快餐 ",02-22482482,新北市中和區中山路二段40號
245,環保餐廳,新北市,65000,牛角燒肉專門店-中和環球店,02-22226599,新北市中和區中山路三段122號4樓
246,環保餐廳,新北市,65000,牛魔王牛排館(板橋大遠百),02-33652366,新北市板橋區新站路28號B1
247,環保餐廳,新北市,65000,王水成,02-26629118,新北市深坑區深坑街118號
248,環保餐廳,新北市,65000,主悅海鮮料理,02-26381749,新北市石門區崁子腳41之2號
249,環保餐廳,新北市,65000,兄弟食堂,02-24986458,新北市金山區金包里街2號
250,環保餐廳,新北市,65000,加納富魚食坊,02-26616560,新北市烏來區信賢里信福路12號之3
251,環保餐廳,新北市,65000,北投國華高爾夫俱樂部餐廳,02-86261281,新北市淡水區坪頂里小坪頂23-1號
252,環保餐廳,新北市,65000,占元府新台式潮鍋,02-26931539,新北市板橋區新站路28號B1
253,環保餐廳,新北市,65000,可口188複合式早午餐,02-22833342,新北市蘆洲區永平街18巷8號1F
254,環保餐廳,新北市,65000,"古拉爵 義式屋-林口三井店",02-26069130,新北市林口區文化三路1段356號2樓
255,環保餐廳,新北市,65000,"古拉爵 義式屋-板橋大遠百新站店",02-29511606,新北市板橋區新站路28號9樓
256,環保餐廳,新北市,65000,"古拉爵 義式屋-板橋愛買店",02-29644886,新北市板橋區貴興路101號3樓
257,環保餐廳,新北市,65000,"古拉爵 義式屋-家樂福重新店",02-85124712,新北市三重區重新路5段654號B1
